real,imaginary,label
3.352577486836087, -0.5396680026145317,9
2.853686377271464, 3.472837909890075,10
-3.2123469697741074, 2.136428127844675,2
-1.3543107719735528, 2.8093382319572098,6
-0.6833204948183949, 1.3251402489183808,7
2.805342292489589, -2.933911778248379,8
3.032682518520885, -3.0554242907769824,8
-2.9255740139909867, -1.8055517424112362,1
-1.0087442062289467, 0.7741557029358201,7
-0.9843385302773142, 1.1331854585780734,7
3.0027977226603806, 3.0625744865775806,10
-3.028432746292024, -3.0519759789234184,0
0.8716046971040687, 3.035841320925531,14
0.2105017760643766, -2.7276997020531195,12
3.009792680958985, -3.0092922344560367,8
0.9475341052209529, -1.2576208751598879,13
2.974890099478895, 2.9651352005137075,10
-0.9983786040490253, 2.9991756068705113,6
-2.9977972588386126, -2.998543470229819,0
-0.993890105766704, -2.997196145831336,4
-3.0053467034507455, -1.00171478125082,1
2.9787428605249286, 2.9323228442157623,10
-1.3188365020881063, -2.846243076105473,4
-3.16335810474107, -0.6941562158727773,1
1.0250245613040596, 3.015375042884348,14
0.9513815246788528, -4.076073035976992,12
2.9944763511142316, -1.0024289914897988,9
1.0155809093871817, 0.8985683927089391,15
3.0092586487603716, 2.943074216618406,10
3.273645485047664, 2.7854834578613836,10
2.9963827973651074, 3.021217243002613,10
-1.0266067089732867, -3.0786134940212246,4
0.9834258882855609, 1.0627833514536602,15
0.9936006191741424, 3.0077256076030285,14
0.8739283625709984, 1.067766322793698,15
0.9969946728085948, 1.0219946856546256,15
-1.4438702259090563, 2.836452140491454,6
-1.0606987516089252, -1.088403087805445,5
2.967140574371977, 3.05102017218566,10
-3.111940577544519, 3.3066378652153663,2
1.0029106462978536, -2.9933405787926675,12
-3.1902664101636593, 1.091363336655374,3
1.0008629338402855, 0.9946294481570074,15
-2.945985408111272, 0.969486787406541,3
-1.0066880255385042, 0.9923163482249653,7
1.205308289203693, 2.5882031018040585,14
3.066776583916019, -1.0570313826382567,9
0.9741959913744412, 2.973104456093004,14
2.6425669488247747, 2.8129219954981854,10
-2.883902890986906, 0.9396246229254324,3
2.9968161654174303, -0.9595371813381304,9
-2.8918834853941675, -2.9235316528135327,0
2.9220698900350586, 1.0855909202157374,11
0.8051440271763889, -1.111568746248718,13
0.9248301919957999, 2.957178779569762,14
-2.939399310331078, 0.9648550382024687,3
1.0953313389762833, -2.9243904015680853,12
3.004650765542505, -3.0029067931396023,8
2.9776369341616626, -1.0533450853429005,9
2.9454797944859488, 2.9723543073469227,10
-2.858315181016116, 1.1422319069954974,3
1.0638319547396615, -1.0117670809656523,13
-1.0065529042299517, -0.9808021116962647,5
3.0099047190275625, 3.0292140243022883,10
3.3954600965259236, 0.6785008422626342,11
-1.137802464711823, 1.2808025362570084,7
-2.8775983347353438, -0.980628489622676,1
2.8416588049356237, 3.206113703369199,10
-1.0265384269430946, 3.0107102277126696,6
-3.0175584126111, -1.004180386651162,1
-2.6770608956564037, -2.7429956684226497,0
-0.010574208091039594, 0.31585200698709304,15
3.188731689737269, -3.2627715658604366,8
3.5530449705231266, -2.8526634971459695,8
2.843097590240205, 3.0180687674196554,10
-1.017731816243393, 3.01050199795326,6
-3.0329791129604007, 0.9659825639586854,3
-2.8096558025535363, 2.863085735820468,2
3.0159391167536147, 0.9289887231043157,11
-2.9061153362775434, -1.3773830977268817,1
1.0335444994227747, -1.0196937100969574,13
-2.998301841891606, 0.987691680505997,3
-1.141249869678592, -1.17302884682756,5
-1.1708661329107213, -3.1537900445222746,4
-3.018267988240282, -3.0008132203321423,0
-0.6776508296156556, 3.0961611913918277,6
-3.0049434990799337, -2.999578471502969,0
-0.9819987218404553, 3.0299639717337556,6
-3.157847400267937, 1.166358224264176,3
-3.0084603962297267, 2.9651858113396488,2
-2.942103960263225, -1.223433344850812,1
-0.9680833331091253, 0.9805373076742702,7
2.9680693210638673, -3.4191363632631933,8
1.4911656512751972, -0.5246239496783465,13
-3.4063623263406075, 2.7188135004518887,2
